park_date,alien_saucers,dinosaur,expedition_everest,flight_of_passage,kilimanjaro_safaris,navi_river,pirates_of_caribbean,rock_n_rollercoaster,seven_dwarfs_train,slinky_dog,soarin,spaceship_earth,splash_mountain,toy_story_mania,season
2018-06-30,45.833333333333336,,,,25.25,,,,,114.16666666666667,,,13.0,36.199999999999996,regular
2018-07-01,39.5,,,,,,25.0,,,70.88888888888889,33.0,,,39.833333333333336,peak
2018-07-02,21.166666666666668,13.333333333333334,,,,,,,,43.1,36.42857142857143,25.333333333333332,,,peak
2018-07-03,17.666666666666668,,,,,,13.714285714285714,76.33333333333333,,50.53333333333333,,,,31.166666666666668,peak
2018-07-04,,12.285714285714286,,74.25,20.5,49.2,,,,37.25,39.333333333333336,,,23.25,peak
2018-07-05,24.444444444444443,,,,,,12.333333333333334,,,41.2,,,,23.5,peak
2018-07-06,34.41666666666667,,31.666666666666668,,18.75,,13.833333333333334,21.25,,60.833333333333336,21.142857142857142,,,45.75,peak
2018-07-07,29.666666666666668,33.75,16.333333333333332,,,,12.833333333333334,,,40.1,20.0,,,30.0,peak
2018-07-08,,23.8,21.666666666666668,95.0,,,19.6,,26.125,66.6,,,,20.6,peak
2018-07-09,36.16666666666667,,10.9,87.25,14.666666666666666,6.0,,,,,25.666666666666668,,,22.5,peak
2018-07-10,28.875,19.0,,,,,,,,54.458333333333336,8.0,,,22.666666666666668,peak
2018-07-11,14.2,,20.0,,,,24.666666666666668,20.333333333333332,,29.166666666666668,31.75,,,31.0,peak
2018-07-12,,,,94.75,,24.666666666666668,25.666666666666668,,,21.0,19.15,,,25.333333333333332,peak
2018-07-13,24.0,,,,,,15.555555555555555,,,46.0,,,,10.25,peak
2018-07-14,31.0,18.25,15.75,,,20.125,15.125,,27.75,43.166666666666664,19.3125,,,42.125,peak
2018-07-15,26.666666666666668,,,74.58333333333333,26.333333333333332,,22.083333333333332,,,42.875,,,37.333333333333336,25.8,peak
2018-07-16,38.833333333333336,,,,,,29.333333333333332,,,49.0,,15.0,,,peak
2018-07-17,22.75,,,,,,17.25,,,38.375,,,,33.64,peak
2018-07-18,28.599999999999998,,,,,,28.416666666666668,,,50.4,24.333333333333332,,,23.833333333333332,peak
2018-07-19,,,,,,,,,,36.25,,,,24.375,peak
2018-07-20,31.666666666666668,,,,,,,,,45.875,23.0,,,20.61904761904762,peak
2018-07-21,29.0,,,,,,15.666666666666666,39.333333333333336,,53.25,,,,,peak
2018-07-22,,,,,,,23.333333333333332,26.333333333333332,,,,,,,peak
2018-07-23,31.25,,,,,,19.125,,,47.0,,,,,peak
2018-07-24,24.666666666666668,,,,,,,,,39.75,14.666666666666666,,,40.733333333333334,peak
2018-07-25,,,,,,,,36.833333333333336,,,,,,,peak
2018-07-26,22.0,,,,,,11.333333333333334,,,40.33333333333333,15.333333333333334,,,,peak
2018-07-27,,,,,,30.333333333333332,,,,56.2,,,,,peak
2018-07-28,22.5,18.333333333333332,,,,27.666666666666668,24.666666666666668,,,,,,,23.666666666666668,peak
2018-07-29,,15.625,,,,,18.5,,,,,,,14.833333333333334,peak
2018-07-30,25.583333333333332,,,,19.333333333333332,,19.0,,,50.2,,,,33.875,peak
2018-07-31,,,,,,27.0,,,,44.0,28.375,,,22.375,peak
2018-08-01,34.0,,,,,,,,,39.5,20.5,,,27.5,peak
2018-08-02,,27.666666666666668,,,,,9.555555555555555,,,37.0,23.666666666666668,,,54.333333333333336,peak
2018-08-03,44.5,,,,,,,,,46.9,29.5,,,,peak
2018-08-04,,,23.5,,,14.125,,,,39.66666666666667,23.666666666666668,,,,peak
2018-08-05,,,22.833333333333332,64.66666666666667,,,17.9,,,,,,,,peak
2018-08-06,,,11.8,,,,,38.666666666666664,,,,,,,peak
2018-08-07,35.5,,,,,,23.166666666666668,,,,25.0,,,28.4,peak
2018-08-08,,,,,,,6.0,9.0,,,21.666666666666668,,,33.42857142857143,peak
2018-08-09,,,,,18.333333333333332,,,24.625,,46.4,,,,9.625,peak
2018-08-10,27.833333333333332,,,106.44444444444444,,,13.25,,,66.5,34.5,,,17.7,peak
2018-08-11,26.0,19.875,17.75,105.0,,30.666666666666668,,,,74.58333333333333,,,,18.666666666666668,peak
2018-08-12,28.3,,,,,,,,,19.875,34.6,,20.0,21.0,peak
2018-08-13,,,17.0,,,,,,,39.333333333333336,23.666666666666668,,,,peak
2018-08-14,22.0,,,,,,13.2,,,,,,,25.0,peak
2018-08-15,27.875,,,,,,,30.75,,36.77777777777778,,,,24.2,peak
2018-08-16,18.0,,,96.33333333333333,,,16.333333333333332,,,32.583333333333336,21.333333333333332,,31.333333333333332,24.75,peak
2018-08-17,34.833333333333336,,20.833333333333332,,,,9.208333333333334,,31.527777777777782,55.642857142857146,,,20.083333333333336,35.5,peak
2018-08-18,32.833333333333336,,,,10.0,,15.0,,53.666666666666664,42.8,20.666666666666668,,,26.666666666666668,peak
2018-08-19,26.8,,,,,,15.0,,,33.75,27.0,,,27.055555555555554,peak
2018-08-20,32.666666666666664,16.666666666666668,31.222222222222218,82.66666666666667,,,14.75,,,36.52777777777778,25.0,,,,peak
2018-08-21,23.875,22.0,,48.75,,32.666666666666664,,,,37.25,29.6,,,25.457142857142856,value
2018-08-22,,24.1,12.4,71.5,,29.4375,,,43.25,37.98888888888889,,,,20.072916666666668,value
2018-08-23,14.555555555555555,24.666666666666668,36.0,,,37.0,10.0,24.0,35.666666666666664,38.76190476190476,16.666666666666668,,34.3,20.85,value
2018-08-24,17.333333333333332,22.333333333333332,,77.5,,,8.476190476190476,,37.333333333333336,44.5,25.25,,16.166666666666668,21.583333333333332,value
2018-08-25,21.0,24.0,8.833333333333334,68.8,,29.333333333333332,,,,39.25,30.666666666666668,8.75,16.833333333333332,20.375,value
2018-08-26,,13.25,,99.0,,,7.0,33.875,,46.11111111111111,17.0,,,33.0,value
2018-08-27,28.333333333333332,,11.333333333333334,79.33333333333333,9.666666666666666,55.333333333333336,10.75,,,30.93333333333333,18.3,,,30.9,value
2018-08-28,24.333333333333332,,,49.6,,,18.928571428571427,,33.833333333333336,30.416666666666664,12.333333333333334,,26.666666666666668,14.0,value
2018-08-29,24.25,,,,,28.333333333333332,11.0,,,24.833333333333336,,,,22.75,value
2018-08-30,14.333333333333334,,,57.8,,23.0,,,,29.32857142857143,14.35,5.333333333333333,15.2,21.194444444444446,value
2018-08-31,16.5625,,,64.0,,,18.5,14.666666666666666,25.333333333333332,41.71875,18.8,,17.6,17.419999999999998,value
2018-09-01,24.166666666666668,10.625,,65.08333333333333,,,18.0,15.666666666666666,,71.125,23.2,,,19.357142857142858,value
2018-09-02,,,,53.583333333333336,,,,,,81.33333333333333,33.2,,,53.75,value
2018-09-03,30.0,,,,,,8.0,,26.166666666666668,,,,,28.25,value
2018-09-04,19.125,,6.125,55.333333333333336,,30.166666666666668,,,,37.357142857142854,,,,27.93333333333333,value
2018-09-05,14.333333333333334,,12.333333333333334,,7.0,24.5,12.0,20.777777777777775,,29.5625,9.4,,,16.0,value
2018-09-06,13.5,,26.875,,,,15.833333333333332,,38.5,23.291666666666664,11.583333333333334,5.0,22.5,17.5,value
2018-09-07,,19.125,8.475,64.375,2.1666666666666665,31.25,3.25,,33.0625,,,,15.4,29.0,value
2018-09-08,37.476190476190474,10.0,14.466666666666667,60.0,6.75,,19.222222222222225,,34.166666666666664,50.27777777777777,16.8,11.75,16.833333333333332,31.333333333333332,value
2018-09-09,31.875,,,63.44285714285714,19.666666666666668,45.166666666666664,8.25,,15.625,67.20833333333333,15.25,,9.75,35.023809523809526,value
2018-09-10,32.5,24.5,21.733333333333334,60.6,16.875,21.833333333333332,,,,44.833333333333336,18.53333333333333,,,30.4,value
2018-09-11,,,,40.5,11.333333333333334,,9.0,,25.222222222222218,20.666666666666668,17.857142857142858,,11.0,,value
2018-09-12,20.0,18.0,,53.42857142857143,,,12.5,7.666666666666667,39.666666666666664,26.571428571428573,22.666666666666668,,,22.7,value
2018-09-13,26.666666666666668,,19.2,71.66666666666667,,31.5,6.166666666666667,27.0,43.333333333333336,35.875,16.166666666666668,3.25,,24.666666666666668,value
2018-09-14,21.666666666666668,,11.666666666666666,,,,11.0,,37.94444444444445,54.166666666666664,25.666666666666668,,14.333333333333334,34.0,value
2018-09-15,,,3.095238095238095,72.46666666666667,,28.75,,,,59.0,23.333333333333332,,21.0,28.476190476190474,value
2018-09-16,,10.666666666666666,8.0,,,,13.4,,27.375,40.0,19.625,,,41.4375,value
2018-09-17,9.222222222222223,17.666666666666668,,,,21.0,,,,33.333333333333336,,,,,value
2018-09-18,,,,,,32.666666666666664,14.125,31.25,36.8,32.0,,7.333333333333333,5.866666666666667,28.0,value
2018-09-19,,6.25,,48.333333333333336,,,8.0,,30.666666666666668,37.25,16.5,,,,value
2018-09-20,,,,,,,16.625,,,47.3,18.666666666666668,,,23.0,value
2018-09-21,34.666666666666664,,,92.625,35.0,,16.2,,,,19.722222222222225,,10.0,32.25,value
2018-09-22,,,14.0,,,,26.0,,,55.4,,,,27.0,value
2018-09-23,28.125,20.0,,,,38.333333333333336,23.666666666666668,,24.6,47.5,21.833333333333332,,11.166666666666666,28.2,value
2018-09-24,21.2,,15.0,63.125,13.25,,,,,46.8,10.6,,,30.25,value
2018-09-25,22.25,,14.333333333333334,39.166666666666664,,,,,25.0,,,,15.0,,value
2018-09-26,13.0,,12.833333333333334,41.285714285714285,,,,,,24.0,,,19.666666666666668,,value
2018-09-27,,,,40.333333333333336,,,,,,42.833333333333336,,,,12.666666666666666,value
2018-09-28,,,,,,,12.275,,,,19.0,,15.666666666666666,,value
2018-09-29,,,18.06666666666667,58.666666666666664,9.666666666666666,,,,,,,,,53.666666666666664,value
2018-09-30,,,,,,,6.666666666666667,39.25,23.666666666666668,,,,11.666666666666666,,value
2018-10-01,,13.166666666666666,,55.333333333333336,,,,,,42.0,10.5,,,30.9,value
2018-10-02,,,,,,,,,29.625,,,,,,value
2018-10-03,,,16.0,,,,,29.333333333333332,,34.625,,,,33.25,value
2018-10-04,,,,,,,,,,,,,,29.333333333333332,value
2018-10-05,,,,120.625,,,15.75,,27.875,,,,,,value
2018-10-06,32.0,28.6,,,32.0,27.583333333333332,24.6,36.0,,55.666666666666664,35.8,24.25,35.0,,regular
2018-10-07,,,,,,,31.333333333333332,,,75.83333333333333,32.16666666666667,,,,regular
2018-10-08,,,,,,,13.0,,40.0,,34.333333333333336,,,,regular
2018-10-09,,,,,,,16.125,,,,35.125,,,,regular
2018-10-10,37.8,,14.0,94.0,,,,,,46.3,18.5,,17.333333333333332,29.25,value
2018-10-11,,25.25,26.333333333333332,,,,6.0,,,,28.5,,13.0,,value
2018-10-12,31.166666666666668,,,,,,11.75,,28.166666666666668,62.0,33.5,34.333333333333336,17.666666666666668,29.0,value
2018-10-13,,,,,,11.0,30.6,,,55.666666666666664,,,,45.25,value
2018-10-14,24.25,,,,,,16.625,,,67.2,,,,48.0,value
2018-10-15,,,,,,,,,,,22.166666666666668,,,,value
2018-10-16,28.0,,,,,,,,23.0,,21.2,,27.2,33.0,value
2018-10-17,,,21.333333333333332,58.9,,,,,,,,,43.0,,value
2018-10-18,36.5,,,,,,17.428571428571427,,,53.5,27.583333333333332,,,46.666666666666664,value
2018-10-19,29.1,,,,30.0,,20.9,,51.333333333333336,56.25,34.1,5.666666666666667,,,value
2018-10-20,,24.142857142857142,,,25.666666666666668,,,,,,30.0,12.0,,,value
2018-10-21,27.166666666666668,23.0,,,,,15.916666666666666,,36.25,46.19444444444445,27.5,,23.166666666666664,35.333333333333336,value
2018-10-22,39.0,22.125,,55.625,,,,,,52.0,28.916666666666668,,,36.166666666666664,value
2018-10-23,29.666666666666668,,,,,,11.166666666666666,,24.566666666666666,58.25,25.666666666666668,,,,value
2018-10-24,14.5,,,,,54.833333333333336,21.0,,44.666666666666664,15.5625,,,,16.9,value
2018-10-25,,,,,,,20.25,,,39.0,,,,26.76,value
2018-10-26,44.0,,,,,,12.5,,34.88888888888889,53.666666666666664,18.666666666666668,,,36.0,value
2018-10-27,37.2,,,,,31.0,28.166666666666668,,,,22.0,,,25.0,value
2018-10-28,,,,,,35.5,20.75,,37.0,76.0,27.25,,,33.333333333333336,regular
2018-10-29,,6.0,8.444444444444445,,18.222222222222225,,,,,39.666666666666664,32.666666666666664,9.0,,43.0,regular
2018-10-30,,,,80.0,,,15.125,,38.55555555555556,,,,12.111111111111112,,regular
2018-10-31,14.75,,6.0,64.75,,,9.583333333333334,,17.166666666666668,32.666666666666664,25.666666666666668,,,18.708333333333332,regular
2018-11-01,26.5,,,,,,,20.333333333333332,,46.90625,,,,29.73333333333333,regular
2018-11-02,,20.9,,,14.333333333333334,20.666666666666668,,,53.8,60.75,17.055555555555554,,,,regular
2018-11-03,43.5,23.333333333333332,18.0,120.33333333333333,,,,,,,,13.25,28.666666666666668,38.9,regular
2018-11-04,20.0,10.0,,73.0,16.6,,23.5,,,49.0,22.25,,,,regular
2018-11-05,,,37.0,,,,12.533333333333335,,,77.25,,26.0,16.25,,regular
2018-11-07,,,,,,10.333333333333334,,,,44.333333333333336,,,,,regular
2018-11-08,,,19.5,99.33333333333333,,,17.875,,33.666666666666664,,21.5,5.666666666666667,24.666666666666668,59.0,regular
2018-11-09,,,,,,,15.666666666666666,,,,,,24.0,48.75,regular
2018-11-10,,11.388888888888888,,,,,,,,71.0,,22.333333333333332,,,regular
2018-11-11,36.333333333333336,,34.666666666666664,,,,,,,,30.8,,20.333333333333332,32.6,regular
2018-11-12,48.583333333333336,17.0,,,,,17.125,,,,,,,62.66666666666667,regular
2018-11-13,36.75,34.333333333333336,26.666666666666668,,,51.2,14.444444444444445,,35.125,27.25,20.083333333333336,,12.972222222222221,41.333333333333336,value
2018-11-14,18.625,10.625,17.25,80.875,22.11111111111111,26.722222222222225,31.8,23.0,48.0,43.833333333333336,,,,28.0,value
2018-11-15,20.333333333333332,18.625,,,,,,,40.166666666666664,61.833333333333336,,,,50.625,value
2018-11-16,31.333333333333332,,,,,,16.833333333333332,,,65.0,,,,,peak
2018-11-17,,23.5,21.666666666666668,,,,28.875,,,,,,,,peak
2018-11-18,40.4,,,,,,21.625,39.44444444444445,,90.25,,,,39.333333333333336,peak
2018-11-19,33.0,,,,,,,,,86.41666666666667,66.66666666666667,,,,peak
2018-11-20,,33.4,36.166666666666664,,,,,,,,39.666666666666664,,,,peak
2018-11-21,,9.5,46.666666666666664,,,,21.333333333333332,,,,,,,,peak
2018-11-22,,25.75,25.0,,,,30.0,,,,,,,,peak
2018-11-23,,,,,,,32.458333333333336,,,,,,,,peak
2018-11-24,,,,,,,27.333333333333332,,,,31.5,,,52.75,peak
2018-11-25,,,37.833333333333336,,26.666666666666668,,10.5,,34.333333333333336,65.41666666666667,30.5,,,,peak
2018-11-26,27.666666666666668,,18.5,62.8,31.0,,,,,,28.05,,,44.0,peak
2018-11-27,32.5,,,,,,15.428571428571429,,49.523809523809526,58.666666666666664,25.75,,5.583333333333334,56.2,peak
2018-11-28,25.0,21.166666666666668,,81.5,29.666666666666668,,21.416666666666668,,50.166666666666664,83.70833333333333,,9.666666666666666,20.666666666666668,32.0,value
2018-11-29,38.166666666666664,,28.0,127.16666666666667,41.0,,9.75,33.166666666666664,31.25,49.0,21.583333333333332,13.333333333333334,,47.2,value
2018-11-30,,16.333333333333332,27.833333333333332,,,,11.833333333333334,,49.666666666666664,,,,,29.8,value
2018-12-01,34.55,14.25,24.3,,26.0,41.0,33.888888888888886,20.333333333333332,,74.0,32.0,,,,value
2018-12-02,,,,,,,13.5,,,64.0,35.6,,15.6,24.166666666666664,value
2018-12-03,,27.916666666666664,23.6,67.8,,28.6,18.666666666666668,,,48.5,19.5,,,37.0,value
2018-12-04,,,,100.66666666666667,,,15.1,,17.133333333333333,69.33333333333333,19.6,,9.0,31.291666666666668,value
2018-12-05,,26.11111111111111,20.333333333333332,58.5,,,18.8,,59.25,37.142857142857146,25.75,,,28.166666666666668,value
2018-12-06,31.166666666666668,23.125,,179.0,,,13.8,,30.875,,21.333333333333332,,,38.0,value
2018-12-07,,,,,,,,,54.416666666666664,34.083333333333336,43.0,,15.6,27.0,value
2018-12-08,,,,,29.0,,22.8,,,,32.7,,,24.75,value
2018-12-09,,,,,,,10.0,,,64.66666666666667,22.88888888888889,,,28.666666666666668,value
2018-12-10,28.166666666666668,40.0,,,29.666666666666668,,30.375,,,64.33333333333333,,,,46.166666666666664,value
2018-12-11,,,26.0,,34.0,,,,,,,,,,value
2018-12-12,30.0,31.06666666666667,12.583333333333334,74.66666666666667,,,20.5,,,55.6,,,,,value
2018-12-13,34.25,,,,,,,,30.03333333333333,,21.666666666666668,,,36.5,value
2018-12-14,33.625,23.333333333333332,14.0,,,,12.833333333333334,,35.625,39.333333333333336,36.0,,,37.25,value
2018-12-15,44.8,18.333333333333332,23.46666666666667,,,,,25.666666666666668,,63.333333333333336,26.4,,,29.166666666666668,value
2018-12-16,,,,,,,12.0,,28.125,,,,25.0,36.25,value
2018-12-17,40.625,40.666666666666664,25.833333333333332,,,30.333333333333332,,,,66.5,,,,,value
2018-12-18,,12.166666666666666,,,,,13.166666666666666,,54.75,,,,,,peak
2018-12-19,,,,,,30.0,18.75,,,,,,,,peak
2018-12-20,,,,58.75,,2.0,,,,22.0,15.0,,,21.5,peak
2018-12-21,,,,,,,17.527777777777775,,44.5,,41.333333333333336,,12.0,21.666666666666668,peak
2018-12-22,,,,,,,9.625,,,43.666666666666664,,,,33.833333333333336,peak
2018-12-23,,,,70.33333333333333,,,,,,,,,,,peak
2018-12-24,50.0,,39.5,,,,,,,,,,,,peak
2018-12-25,,,,,,,11.555555555555555,,,,,,,,peak
2018-12-26,,,,,,,,,20.333333333333332,,,,,,peak
2018-12-27,,,35.166666666666664,,,,,,,,,,,59.7,peak
2018-12-28,,,,110.25,,,25.0,,,,,,,,peak
2018-12-29,,,,161.16666666666666,,,29.833333333333332,,,,,,,,peak
2018-12-30,,,,,,,19.625,,45.375,,,,,,peak
2018-12-31,33.4,,,94.25,,,,,,76.5,,,,50.444444444444436,peak
2019-01-01,,16.333333333333332,,,,72.1,23.5,,,,,10.333333333333334,,,peak
2019-01-03,,,,,,69.33333333333333,29.642857142857142,,,,49.5,,50.0,,peak
2019-01-04,42.625,,,,,,25.75,,73.16666666666667,,,,42.5,,peak
2019-01-05,35.0,31.8,,,,,,,122.75,,48.333333333333336,,29.333333333333332,,peak
2019-01-06,,24.083333333333332,,,,,19.333333333333332,,,,29.0,,16.666666666666668,42.333333333333336,peak
2019-01-07,,,,,,,16.666666666666668,,,72.28571428571429,25.85,,,,peak
2019-01-08,22.833333333333332,,18.666666666666668,,41.666666666666664,,28.5,,,,,,11.0,48.0,peak
2019-01-09,,33.0,16.083333333333332,,,,,,,36.333333333333336,,1.6666666666666667,,,peak
2019-01-10,,19.25,,,,,17.166666666666668,,,,13.125,,,24.25,value
2019-01-11,32.375,,22.333333333333332,,,,13.25,,25.333333333333332,,,,,,value
2019-01-12,,15.0,27.0,,,20.541666666666668,21.666666666666668,,,,,,18.75,45.0,value
2019-01-13,22.73809523809524,,,,,24.222222222222218,8.0,,,39.4,19.333333333333332,,16.125,27.4,value
2019-01-14,28.25,,,,,46.666666666666664,,,,42.666666666666664,,,,42.375,value
2019-01-15,,,,,,35.77777777777778,,,,49.25,,,,29.333333333333332,value
2019-01-16,,,,,,,,,,,,,,18.75,value
2019-01-17,,,,,,,,,,58.75,20.166666666666668,4.0,,,peak
2019-01-18,,19.333333333333332,,,,,,,,,29.666666666666668,,,,peak
2019-01-19,,,21.333333333333332,145.0,,,,,79.16666666666667,,44.0,,27.666666666666668,70.0,peak
2019-01-20,,,,,,,19.2,,85.0,81.66666666666667,77.5,,,,peak
2019-01-21,,,,,,,,,,,50.875,,,43.666666666666664,peak
2019-01-22,,44.0,,,56.666666666666664,,,,,,41.0,,,31.0,peak
2019-01-23,35.25,12.666666666666666,,,,,17.0,,,52.333333333333336,25.0,,,35.1,peak
2019-01-24,,,,,,50.0,12.0,,59.0,47.0,19.5,18.25,13.375,28.0,peak
2019-01-25,22.833333333333332,,,,,,26.9,,,,,,14.666666666666666,25.875,peak
2019-01-26,,33.0,25.777777777777782,,58.77777777777778,,15.444444444444445,,,71.33333333333333,36.0,,,34.583333333333336,value
2019-01-27,,,,,,,3.5,,,15.083333333333332,15.25,,,29.1,value
2019-01-28,,24.708333333333332,30.0625,,45.333333333333336,41.0,45.0,,,54.75,,,,50.0,value
2019-01-29,,,,,,,21.666666666666664,,41.625,59.333333333333336,,,43.25,44.22222222222222,value
2019-01-30,27.9,,,,,,8.666666666666666,,,49.785714285714285,30.2,,,32.8,value
2019-01-31,34.666666666666664,,,,,,22.4,,,58.25,19.8125,,,45.0,value
2019-02-01,28.5,,,,,,22.0,,66.33333333333333,45.5,22.444444444444443,,,28.166666666666668,value
2019-02-02,,,,,,21.5,,,,51.2,,,,33.0,value
2019-02-03,,,,128.33333333333334,,,23.666666666666668,,,,28.666666666666668,,17.833333333333332,,value
2019-02-04,,,,,,,,,34.166666666666664,,18.77777777777778,8.333333333333334,,42.666666666666664,value
2019-02-05,,,15.75,,21.0,33.666666666666664,25.666666666666668,,,38.0,,,,21.3,value
2019-02-06,24.8,12.0,11.5,80.83333333333333,,,26.666666666666668,,,39.0,16.333333333333332,,,35.857142857142854,value
2019-02-07,32.5,,,,,,24.8,30.666666666666668,,46.5,27.5,10.666666666666666,,31.0,value
2019-02-08,30.5,,,,37.333333333333336,,,,,,28.666666666666668,,,,value
2019-02-09,31.75,,,,,18.333333333333332,16.125,,,60.5,,,,43.733333333333334,value
2019-02-10,36.166666666666664,25.0,,,,,17.666666666666668,,,52.666666666666664,27.333333333333332,,,,value
2019-02-11,24.166666666666668,,,,52.2,38.875,,,,,,,,33.333333333333336,value
2019-02-12,,,,,35.57142857142857,48.0,,,,,21.833333333333332,,,41.416666666666664,value
2019-02-13,,,15.666666666666666,,24.285714285714285,,9.5,,,38.333333333333336,,,,,value
2019-02-14,37.0,,,,57.2,,20.333333333333332,,,57.2,28.0,,,54.0,regular
2019-02-15,,43.5,,,55.4,60.666666666666664,,,,67.0,26.333333333333332,,,,regular
2019-02-16,,,,,,,,,,,,,,61.666666666666664,regular
2019-02-17,,,,,,,21.083333333333336,,20.0,,,16.0,,,regular
2019-02-18,,54.4,,,,,27.875,,,,54.333333333333336,,,,regular
2019-02-19,38.166666666666664,35.0,,,,,,,,,43.6,,,,regular
2019-02-20,,31.5,,,,,,,,,,,,,regular
2019-02-21,,51.0,,,,,,,,71.5,,,,,regular
2019-02-22,,28.071428571428573,,,,,,,,,28.8,,,,regular
2019-02-23,36.666666666666664,,,,37.75,,,,,55.75,,,,,regular
2019-02-25,,20.083333333333332,36.06666666666666,,35.833333333333336,14.666666666666666,,,,,24.25,,29.0,41.25,value
2019-02-26,35.225,13.8,19.02777777777778,67.5,33.833333333333336,,5.875,,,,24.0,,,29.0625,value
2019-02-27,,37.875,26.73333333333333,86.33333333333333,30.0,,16.11111111111111,,65.0,43.0,25.7,,,,value
2019-02-28,,37.333333333333336,38.166666666666664,,,10.833333333333334,23.0,,,62.0,,,,39.75,value
2019-03-01,,25.5,33.3,,,43.22222222222222,,,,,27.0,,,,regular
2019-03-02,,,,,,,24.875,,,,33.6,17.333333333333332,,40.666666666666664,regular
2019-03-03,30.333333333333332,,,,,,26.666666666666664,,,64.66666666666667,,,,,peak
2019-03-04,,,21.2,,,,32.333333333333336,,,,47.5,,,,peak
2019-03-05,29.833333333333332,,,,22.666666666666668,47.8,,,,,,,,,peak
2019-03-07,,,,,,,,,,,,,,57.0,regular
2019-03-08,,,,,,,,,,,,9.666666666666666,,,regular
2019-03-09,,23.555555555555557,,,,,,,,,,,,38.333333333333336,regular
2019-03-10,30.0,,,,,,19.666666666666668,38.166666666666664,,,39.625,,,,regular
2019-03-11,,28.833333333333332,,,,,,,,,53.333333333333336,,,80.33333333333333,regular
2019-03-12,43.0625,60.333333333333336,,,,,,,,33.5,,,,45.0,regular
2019-03-13,41.25,24.5,33.625,,,25.666666666666668,51.75,,,,42.666666666666664,,,45.0,regular
2019-03-14,30.555555555555557,21.833333333333332,,,,,30.43333333333333,,,,34.916666666666664,,,47.125,regular
2019-03-15,,10.666666666666666,,,,,,,,43.42857142857143,,3.1666666666666665,,,regular
2019-03-16,23.25,,,,,,30.1,,,,,,,,regular
2019-03-17,,,,,,,20.333333333333332,,,,,,,,regular
2019-03-18,,,,,,,19.5,,,,47.666666666666664,,,45.666666666666664,regular
2019-03-19,,,,,15.0,46.666666666666664,,,,47.625,,,18.0,61.5,regular
2019-03-20,,,,,,,28.0,,,,,,,42.166666666666664,regular
