baseline,wait_type,budget_min,total_time_used_min,total_rating,rides_count,rides_list,prob_overrun,mean_sim_time,std_sim_time,p95_sim_time,p99_sim_time,avg_overrun_if_over,min_sim_time,max_sim_time
random,value,600,599.17,91.30,22,"seven_dwarfs_train|splash_mountain|rock_n_rollercoaster|pirates_of_caribbean|toy_story_mania|spaceship_earth|navi_river|expedition_everest|slinky_dog|flight_of_passage|soarin|seven_dwarfs_train|splash_mountain|rock_n_rollercoaster|pirates_of_caribbean|toy_story_mania|spaceship_earth|navi_river|expedition_everest|slinky_dog|flight_of_passage|soarin",0.5000,600.42,61.98,699.23,735.62,50.76,402.57,764.52
greedy_rating,value,600,585.44,86.20,20,"expedition_everest|flight_of_passage|kilimanjaro_safaris|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|splash_mountain|toy_story_mania|expedition_everest|flight_of_passage|kilimanjaro_safaris|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|splash_mountain|toy_story_mania",0.4080,587.42,62.97,692.03,726.30,48.19,393.65,761.18
max_rating,value,600,599.17,91.30,22,"expedition_everest|flight_of_passage|navi_river|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania|expedition_everest|flight_of_passage|navi_river|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania",0.4940,600.09,61.99,703.22,737.36,50.90,414.21,784.87
max_count,value,600,599.17,91.30,22,"expedition_everest|flight_of_passage|navi_river|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania|expedition_everest|flight_of_passage|navi_river|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania",0.4940,600.09,61.99,703.22,737.36,50.90,414.21,784.87
random,regular,600,585.42,77.80,20,"seven_dwarfs_train|splash_mountain|rock_n_rollercoaster|pirates_of_caribbean|toy_story_mania|spaceship_earth|navi_river|expedition_everest|slinky_dog|alien_saucers|seven_dwarfs_train|splash_mountain|rock_n_rollercoaster|pirates_of_caribbean|toy_story_mania|spaceship_earth|navi_river|expedition_everest|slinky_dog|alien_saucers",0.3700,585.72,45.45,662.43,694.45,32.79,450.34,742.66
greedy_rating,regular,600,573.91,78.00,18,"expedition_everest|flight_of_passage|kilimanjaro_safaris|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania|expedition_everest|flight_of_passage|kilimanjaro_safaris|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania",0.2640,571.44,43.99,643.33,665.51,25.06,428.89,703.98
max_rating,regular,600,585.42,84.20,20,"expedition_everest|kilimanjaro_safaris|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania|expedition_everest|kilimanjaro_safaris|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania",0.3730,586.93,40.35,652.84,673.87,28.86,448.71,699.18
max_count,regular,600,597.82,82.50,22,"alien_saucers|dinosaur|expedition_everest|navi_river|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania|alien_saucers|dinosaur|expedition_everest|navi_river|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania",0.4910,598.66,48.30,675.35,701.14,38.49,455.65,738.24
random,peak,600,596.26,77.80,20,"seven_dwarfs_train|splash_mountain|rock_n_rollercoaster|pirates_of_caribbean|toy_story_mania|spaceship_earth|navi_river|expedition_everest|slinky_dog|alien_saucers|seven_dwarfs_train|splash_mountain|rock_n_rollercoaster|pirates_of_caribbean|toy_story_mania|spaceship_earth|navi_river|expedition_everest|slinky_dog|alien_saucers",0.4670,596.96,51.44,685.40,716.47,40.68,468.08,751.86
greedy_rating,peak,600,585.47,78.00,18,"expedition_everest|flight_of_passage|kilimanjaro_safaris|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania|expedition_everest|flight_of_passage|kilimanjaro_safaris|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania",0.4180,589.58,59.02,688.46,736.56,45.18,402.59,795.14
max_rating,peak,600,589.08,84.20,20,"expedition_everest|kilimanjaro_safaris|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania|expedition_everest|kilimanjaro_safaris|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania",0.4040,591.07,50.00,673.90,711.06,40.06,459.31,739.90
max_count,peak,600,592.26,83.50,22,"alien_saucers|dinosaur|expedition_everest|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|slinky_dog|soarin|spaceship_earth|toy_story_mania|alien_saucers|dinosaur|expedition_everest|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|slinky_dog|soarin|spaceship_earth|toy_story_mania",0.4440,593.00,50.03,677.06,709.45,37.73,425.98,729.89
random,all,600,590.24,82.50,20,"seven_dwarfs_train|splash_mountain|rock_n_rollercoaster|pirates_of_caribbean|toy_story_mania|spaceship_earth|navi_river|expedition_everest|slinky_dog|kilimanjaro_safaris|seven_dwarfs_train|splash_mountain|rock_n_rollercoaster|pirates_of_caribbean|toy_story_mania|spaceship_earth|navi_river|expedition_everest|slinky_dog|kilimanjaro_safaris",0.3940,590.89,32.35,645.05,667.40,22.63,489.34,695.32
greedy_rating,all,600,590.24,86.00,20,"expedition_everest|flight_of_passage|kilimanjaro_safaris|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania|expedition_everest|flight_of_passage|kilimanjaro_safaris|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania",0.3840,590.77,37.57,657.74,676.23,28.46,496.51,710.22
max_rating,all,600,592.81,87.80,22,"alien_saucers|expedition_everest|flight_of_passage|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|slinky_dog|soarin|spaceship_earth|toy_story_mania|alien_saucers|expedition_everest|flight_of_passage|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|slinky_dog|soarin|spaceship_earth|toy_story_mania",0.4260,593.56,35.33,650.77,677.72,26.10,466.42,695.64
max_count,all,600,592.81,87.80,22,"alien_saucers|expedition_everest|flight_of_passage|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|slinky_dog|soarin|spaceship_earth|toy_story_mania|alien_saucers|expedition_everest|flight_of_passage|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|slinky_dog|soarin|spaceship_earth|toy_story_mania",0.4260,593.56,35.33,650.77,677.72,26.10,466.42,695.64
